iter,x,y,"f(x,y)",||grad||
70.0,0.9322371296347182,0.8685875058625382,0.004614708568175819,0.10489756564162511
71.0,0.9321532881851129,0.8687744433652883,0.004605007165003355,0.08943439874038933
72.0,0.932486264031582,0.8688801537629679,0.004600416817141693,0.1688257820377852
73.0,0.9322761125411138,0.8691342470616434,0.004586526960202578,0.1337716082205269
74.0,0.9325373792924085,0.869136006027709,0.0045752110523996055,0.10904429308086433
75.0,0.9324439489701696,0.869327395773742,0.004565365631620253,0.09216023488343428
76.0,0.9327906001803488,0.8694245224904156,0.004562501547386024,0.1784476295784183
77.0,0.932562123728087,0.8696877183085404,0.004547891503599671,0.140730924802947
78.0,0.9328369212261493,0.869681623114673,0.004536189959246074,0.11391050771841754
79.0,0.9327326294677448,0.8698781459615511,0.004526153809653056,0.09541111580445716
